Date,Open,High,Low,Close,Volume
2021-03-10,3476.91,3513.42,3455.42,3463.06,30678374376
2021-03-11,3481.26,3508.51,3472.68,3508.51,27368665529
2021-03-12,3515.44,3539.5,3502.6,3539.5,15756468740
2021-03-15,3562.69,3595.96,3560.13,3584.49,27111769877
2021-03-16,3600.68,3602.18,3545.15,3589.83,22424597057
2021-03-17,3579.06,3587.24,3498.38,3507.91,30207478648
2021-03-18,3533.69,3549.22,3495.12,3504.85,29984266558
2021-03-19,3473.84,3495.56,3448.99,3475.26,33186220070
2021-03-22,3479.06,3497.6,3470.34,3489.07,31976208150
2021-03-23,3481.11,3481.11,3451.7,3467.21,26287936345
2021-03-24,3459.99,3489.22,3446.24,3485.33,17616475768
2021-03-25,3477.87,3479.67,3435.24,3439.3,15836376428
2021-03-26,3476.01,3499.82,3476.01,3489.83,14208924800
2021-03-29,3500.41,3534.84,3498.94,3529.33,27422018708
2021-03-30,3535.72,3547.98,3504.78,3525.23,39403298681
2021-03-31,3525.56,3541.72,3510.65,3541.72,185337692436
2021-04-01,3556.28,3575.66,3527.2,3527.54,96726877963
2021-04-02,3553.89,3563.65,3539.88,3558.22,39895612723
2021-04-05,3555.24,3555.83,3516.22,3524.93,74343517493
2021-04-06,3536.26,3541.04,3484.99,3493.89,98583589215
2021-04-07,3484.22,3517.99,3461.97,3500.34,59958025667
2021-04-08,3513.21,3527.2,3495.47,3507.83,53818589262
2021-04-09,3510.2,3511.27,3480.85,3486.03,33613827709
2021-04-12,3476.51,3541.7,3472.37,3522.65,29746030093
2021-04-13,3533.3,3542.63,3511.23,3526.3,60420207683
2021-04-14,3567.53,3576.89,3546.86,3576.89,86262215766
2021-04-15,3532.13,3575.71,3527.5,3568.51,41686600038
2021-04-16,3578.01,3598.44,3566.94,3598.44,54090351263
2021-04-19,3598.47,3604.7,3565.4,3574.08,55773937937
2021-04-20,3581.37,3596.19,3536.41,3552.41,139032141923
2021-04-21,3554.83,3572.14,3545.15,3561.72,70129580189
2021-04-22,3576.69,3606.46,3558.12,3600.35,59458962714
2021-04-23,3598.76,3599.51,3579.25,3597.17,194058920901
2021-04-26,3603.13,3613.37,3589.43,3610.98,110977642207
